id,name,desc,price,quantity
1,Cuddly Bear Plush,A soft and fluffy bear plush toy perfect for hugging.,299.99,150
2,Fuzzy Bunny Stuffed Animal,A cute bunny stuffed animal with long ears and a soft coat.,199.99,75
3,Rainbow Unicorn Plush,A colorful unicorn plush toy with a shiny mane and tail.,399.99,50
4,Panda Bear Cuddle Toy,An adorable panda bear stuffed animal with soft black and white fur.,259.99,200
5,Teddy Bear Deluxe,A classic teddy bear plush with a ribbon around its neck.,499.99,120
6,Koala Snuggle Plush,A cute koala stuffed animal that is perfect for snuggling.,349.99,80
7,Fluffy Tiger Plush,A tiger stuffed animal with soft fur and a playful expression.,399.99,90
8,Penguin Buddy Stuffed Toy,A little penguin stuffed toy with a cute belly and tiny flippers.,199.99,140
9,Elephant Plush Friend,"A big, soft elephant plush with large ears and a friendly face.",599.99,110
10,Giraffe Snuggle Toy,"A tall, soft giraffe plush with long neck and cute spots.",449.99,95
11,Cat Plush Cuddle Buddy,"A relaxed cat plush with a cozy, fuzzy feel.",259.99,150
12,Snuggly Dog Plush Buddy,A soft plush that is perfect cuddling,299.99,120
